f[GHz],theta[deg],phi[deg],RCS[dB]
26,2,22,3.8321
26,4,22,3.5391
26,6,22,-1.7909
26,8,22,-8.7389
26,10,22,-17.148
26,12,22,-18.767
26,14,22,-22.975
26,16,22,-21.355
26,18,22,-19.924
26,20,22,-20.978
26,22,22,-24.158
26,24,22,-18.874
26,26,22,-16.022
26,28,22,-19.598
26,30,22,-24.916
26,32,22,-30.805
26,34,22,-37.942
26,36,22,-27.103
26,38,22,-28.006
26,40,22,-26.985
26,42,22,-28.105
26,44,22,-24.917
26,46,22,-24.213
26,48,22,-25.894
26,50,22,-33.741
26,52,22,-27.811
26,54,22,-24.532
26,56,22,-21.384
26,58,22,-26.506
26,60,22,-27.644
26,62,22,-27.21
26,64,22,-31.873
26,66,22,-24.149
26,68,22,-26.092
26,70,22,-28.253
26,72,22,-23.804
26,74,22,-21.073
26,76,22,-16.857
26,78,22,-21.558
26,80,22,-20.45
26,82,22,-13.91
26,84,22,-15.484
26,86,22,-15.289
26,88,22,-16.402
26,90,22,-21.781
26,-90,24,-22.056
26,-88,24,-27.377
26,-86,24,-26.245
26,-84,24,-21.585
26,-82,24,-11.665
26,-80,24,-18.738
26,-78,24,-21.986
26,-76,24,-38.944
26,-74,24,-26.431
26,-72,24,-26.938
26,-70,24,-26.45
26,-68,24,-32.161
26,-66,24,-34.097
26,-64,24,-29.337
26,-62,24,-33.513
26,-60,24,-20.717
26,-58,24,-23.066
26,-56,24,-20.254
26,-54,24,-20.365
26,-52,24,-22.76
26,-50,24,-20.898
26,-48,24,-27.471
26,-46,24,-29.716
26,-44,24,-30.696
26,-42,24,-34.932
26,-40,24,-32.514
26,-38,24,-24.82
26,-36,24,-26.317
26,-34,24,-32.846
26,-32,24,-36.819
26,-30,24,-31.311
26,-28,24,-28.512
26,-26,24,-23.901
26,-24,24,-22.725
26,-22,24,-26.694
26,-20,24,-28.006
26,-18,24,-37.566
26,-16,24,-28.612
26,-14,24,-21.316
26,-12,24,-28.719
26,-10,24,-20.006
26,-8,24,-32.376
26,-6,24,-15.707
26,-4,24,-12.811
26,-2,24,-7.3499
26,0,24,-1.1149
26,2,24,3.8761
26,4,24,3.2541
26,6,24,-2.7539
26,8,24,-10.484
26,10,24,-17.902
26,12,24,-19.634
26,14,24,-26.37
26,16,24,-28.905
26,18,24,-19.696
26,20,24,-26.994
26,22,24,-24.899
26,24,24,-17.366
26,26,24,-14.984
26,28,24,-21.769
26,30,24,-37.164
26,32,24,-22.947
26,34,24,-33
26,36,24,-22.672
26,38,24,-20.924
26,40,24,-26.879
26,42,24,-27.871
26,44,24,-19.247
26,46,24,-25.607
26,48,24,-27.399
